id,month,year,production
166,3,2021,149344.08
166,4,2021,149585.02
119,1,2021,127386.87
119,2,2021,107230.59
119,3,2021,97696.78
119,4,2021,130387.23
272,1,2021,147842.38
272,2,2021,141233.23
272,3,2021,145644.8
272,4,2021,132022.46
190,1,2021,360509.77
190,2,2021,327804.79
190,3,2021,347797.86
190,4,2021,314317.9
238,1,2021,46985.26
238,2,2021,42359.28
238,3,2021,46162.46
238,4,2021,45282.78
167,1,2021,630896.1
167,2,2021,540612.41
167,3,2021,615332.8
167,4,2021,583383.88
168,1,2021,138022.48
168,2,2021,120039.25
168,3,2021,125364.49
168,4,2021,120658.24
27,1,2021,109616.35
27,2,2021,102272.12
27,3,2021,112163.49
27,4,2021,101659.4
230,1,2021,72527.14
230,2,2021,66961.96
230,3,2021,63101.07
230,4,2021,46884.1
1,1,2021,32200.94
1,2,2021,26425.31
1,3,2021,26492.24
1,4,2021,28506.7
148,1,2021,177519.72
148,2,2021,158243.06
148,3,2021,159953.61
148,4,2021,176809.55
169,1,2021,187168.23
169,2,2021,175272.32
169,3,2021,183004.34
169,4,2021,184748.17
149,1,2021,101951.25
149,2,2021,93517.19
149,3,2021,98223.5
149,4,2021,88968.16
253,1,2021,97653.36
253,2,2021,87928.58
253,3,2021,90810.69
253,4,2021,84524.16
254,1,2021,127331.9
254,2,2021,117520.3
254,3,2021,118839.41
254,4,2021,109027.81
50,1,2021,106910.53
50,2,2021,102075.64
50,3,2021,110660.18
50,4,2021,99115.58
71,1,2021,127280.04
71,2,2021,117450.15
71,3,2021,92627.22
71,4,2021,82028.45
19,1,2021,230712.62
19,2,2021,200777.88
19,3,2021,230647.25
19,4,2021,246188.55
187,1,2021,101494.55
187,2,2021,95198.79
187,3,2021,114293.63
187,4,2021,106044.75
91,1,2021,127145.01
91,2,2021,110758.23
91,3,2021,116608.47
91,4,2021,125000.07
115,1,2021,216189.39
115,2,2021,182642.35
115,3,2021,185532.0
115,4,2021,147871.14
10,1,2021,186153.02
10,2,2021,164844.73
10,3,2021,176473.24
10,4,2021,152448.5
5,1,2021,87488.97
5,2,2021,80483.84
5,3,2021,78319.94
5,4,2021,71884.37
26,1,2021,246927.94
26,2,2021,210586.66
26,3,2021,219800.52
26,4,2021,206100.41
232,1,2021,384697.01
232,2,2021,333286.97
232,3,2021,378717.69
232,4,2021,355242.48
61,1,2021,33624.76
61,2,2021,32343.02
61,3,2021,22047.71
61,4,2021,30906.22
257,1,2021,16762.23
257,2,2021,18170.29
257,3,2021,16871.16
257,4,2021,23693.58
59,1,2021,207340.31
59,2,2021,187733.6
59,3,2021,212095.24
59,4,2021,216287.92
221,1,2021,152194.51
221,2,2021,117246.49
221,3,2021,134651.34
