id,month,year,production
130,3,2021,90240.73
130,4,2021,92354.68
207,1,2021,212667.62
207,2,2021,158281.92
207,3,2021,231030.05
207,4,2021,231030.05
24,1,2021,95932.72
24,2,2021,89901.52
24,3,2021,96842.41
24,4,2021,80404.58
135,1,2021,414864.36
135,2,2021,391540.22
135,3,2021,411545.11
135,4,2021,375110.64
231,1,2021,77277.8
231,2,2021,73389.39
231,3,2021,62673.42
231,4,2021,76510.07
143,1,2021,247010.63
143,2,2021,230060.75
143,3,2021,211899.16
143,4,2021,219214.3
43,1,2021,54109.8
43,2,2021,55101.1
43,3,2021,55724.01
43,4,2021,54727.34
157,1,2021,240221.72
157,2,2021,207262.66
157,3,2021,245576.34
157,4,2021,241514.04
181,1,2021,134674.42
181,2,2021,135302.66
181,3,2021,149285.29
181,4,2021,134119.53
258,1,2021,504538.58
258,2,2021,478836.43
258,3,2021,511375.72
258,4,2021,481290.31
40,1,2021,166789.9
40,2,2021,150509.02
40,3,2021,165627.85
40,4,2021,153626.06
70,1,2021,157900.14
70,2,2021,155979.72
70,3,2021,143597.69
70,4,2021,145966.63
246,1,2021,158608.12
246,2,2021,147545.12
246,3,2021,158953.51
246,4,2021,117048.04
283,1,2021,298636.94
283,2,2021,286499.28
283,3,2021,252641.08
283,4,2021,253950.45
20,1,2021,30614.39
20,2,2021,30133.71
20,3,2021,29059.51
20,4,2021,20161.78
2,1,2021,71318.02
2,2,2021,61276.82
2,3,2021,57955.2
2,4,2021,71844.58
133,1,2021,172738.85
133,2,2021,135608.57
133,3,2021,151919.16
133,4,2021,147441.3
256,1,2021,454619.95
256,2,2021,381775.37
256,3,2021,339480.29
256,4,2021,453291.56
8,1,2021,742264.19
8,2,2021,662291.95
8,3,2021,740704.29
8,4,2021,664424.36
172,1,2021,95665.95
172,2,2021,77999.06
172,3,2021,95765.89
172,4,2021,103345.28
44,1,2021,205656.96
44,2,2021,180802.55
44,3,2021,202797.29
44,4,2021,205656.96
93,1,2021,66167.93
93,2,2021,55977.92
93,3,2021,66167.93
93,4,2021,93805.52
45,1,2021,55844.29
45,2,2021,55844.29
45,3,2021,69799.91
45,4,2021,68676.76
25,1,2021,55176.73
25,2,2021,46337.27
25,3,2021,53106.58
25,4,2021,56707.2
259,1,2021,274744.22
259,2,2021,235600.77
259,3,2021,210235.47
259,4,2021,210235.47
145,1,2021,301850.62
145,2,2021,296128.86
145,3,2021,288504.94
145,4,2021,263083.33
163,1,2021,227006.19
163,2,2021,192207.58
163,3,2021,229588.74
163,4,2021,236936.41
136,1,2021,56131.92
136,2,2021,40522.38
136,3,2021,48071.6
136,4,2021,50628.42
264,1,2021,171004.77
264,2,2021,172233.56
264,3,2021,164654.88
264,4,2021,165856.99
165,1,2021,124378.08
165,2,2021,104700.49
165,3,2021,110642.48
165,4,2021,126338.62
164,1,2021,176428.17
164,2,2021,170108.75
164,3,2021,165354.56
164,4,2021,167614.39
142,1,2021,247915.24
142,2,2021,221092.52
142,3,2021,231100.53
142,4,2021,270671.3
109,1,2021,198858.96
109,2,2021,198991.86
109,3,2021,192169.94
109,4,2021,191590.86
100,1,2021,258974.75
100,2,2021,236246.38
100,3,2021,256507.9
100,4,2021,233245.1
152,1,2021,441244.03
152,2,2021,390241.24
152,3,2021,398876.8
152,4,2021,383065.89
266,1,2021,171625.28
266,2,2021,140265.56
266,3,2021,172919.75
266,4,2021,148325.7
73,1,2021,102476.66
73,2,2021,92012.92
73,3,2021,97062.13
73,4,2021,92012.92
54,1,2021,125757.19
54,2,2021,116370.91
54,3,2021,152651.27
54,4,2021,133427.51
7,1,2021,598819.41
7,2,2021,570255.01
7,3,2021,479123.48
7,4,2021,359986.82
36,1,2021,306109.41
36,2,2021,303948.27
36,3,2021,305346.83
36,4,2021,306547.17
128,1,2021,159249.43
128,2,2021,139589.57
128,3,2021,148823.65
128,4,2021,148823.65
9,1,2021,98735.17
9,2,2021,98135.69
9,3,2021,107434.07
9,4,2021,101786.4
108,1,2021,167925.17
108,2,2021,233365.66
108,3,2021,236202.41
108,4,2021,169465.55
127,1,2021,177901.39
127,2,2021,173977.46
127,3,2021,175056.66
127,4,2021,146160.65
194,1,2021,137018.13
194,2,2021,117545.14
194,3,2021,95668.75
194,4,2021,135188.6
15,1,2021,86890.16
15,2,2021,69409.33
15,3,2021,67348.41
15,4,2021,89425.58
52,1,2021,406298.15
52,2,2021,367431.94
52,3,2021,367431.94
52,4,2021,361413.72
155,1,2021,65962.03
155,2,2021,64034.72
155,3,2021,65941.18
155,4,2021,68081.55
77,1,2021,760967.4
77,2,2021,744958.7
77,3,2021,751719.05
77,4,2021,744958.7
131,1,2021,84734.04
131,2,2021,73432.85
131,3,2021,81317.13
131,4,2021,64651.9
98,1,2021,140134.39
98,2,2021,128453.65
98,3,2021,131692.91
98,4,2021,139915.8
101,1,2021,259818.68
101,2,2021,239564.05
101,3,2021,239564.05
101,4,2021,237817.46
182,1,2021,188973.36
182,2,2021,172577.23
182,3,2021,171808.83
182,4,2021,171808.83
139,1,2021,341396.5
139,2,2021,289561.91
139,3,2021,289879.94
139,4,2021,294003.53
267,1,2021,314601.5
267,2,2021,285886.57
267,3,2021,288627.69
267,4,2021,322843.53
84,1,2021,161264.11
84,2,2021,140960.28
84,3,2021,162632.38
84,4,2021,163741.28
179,1,2021,222443.13
179,2,2021,210156.11
179,3,2021,182812.78
179,4,2021,109322.94
